page,block,line,x0,y0,x1,y1,text,keyword,page_right,firm_name,german_subsidiary,notes,US company name,US Company,affiliated German firm name,German subsidiary,reviewed_notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affiliated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement
2400,19,2,299.5,171.803,519.45,188.005,"for German taxes (3) Ritter A. G. flgune converted at 4,3 ",German,2400,Ritter Dental Mfg. Co. Inc.,"Ritter, A. G. and Forstbaner Dental Equipment Co.","Ritter Dental Mfg. Co. Inc. manufactures equipment for dental offices and laboratories. It owns 96.9% of Ritter, A. G. (Germany), which operates two plants in Baden, Germany, and owns 95.8% of Forstbaner Dental Equipment Co. Financial statements are subject to adequacy of Ritter A. G. provision for German taxes, with figures converted at 4.2 marks to the dollar. In July 1933, the company acquired Electro-Dental Mfg. Co. of Philadelphia. In 1933, it organized Ritter Dental Equipment Co., Inc. as a new subsidiary for retail sales in Chicago. The company has 7% cumulative preferred stock ($2,500,000 authorized and outstanding, $100 par) and common stock (160,000 shares authorized and outstanding, no par).",Ritter Dental Mfg. Co. Inc.,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)","Ritter, A. G.",,"Owns 96% of capital stock of Ritter, A.G., which owns two plants in Baden, Germany...",True,False,True,False,False,True,False,False
2524,3,9,78.7,139.254,222.05,152.754,I Includes German and South African ,German,2524,Standard Brands Inc.,Royal Baking Powder Co.,Current assets and current liabilities in foreign countries are converted at current rates of exchange as of Dec. 31 (the excess of current rates over par of exchange being credited to a reserve for exchange adjustments) and non-current foreign items are converted at par or cost of exchange. Accounts certified by Haskins & Sells.,Standard Brands Inc.,Royal Baking Powder Company,,,"in the Balance Sheet: ""Includes... German and South African subsidiaries of Royal Baking Powder Co.""",True,False,False,False,False,False,False,False
2525,5,1,70.8,160.128,262.4,170.829,"South Africa, and Deutsche Royal Baekpulvur, Gm ",Deutsch,2525,Royal Baking Powder Company,"Deutsche Royal Backpulver, Gesellschaft m.b.H., Berlin, Germany","Incorporated March 1, 1899, in New Jersey, as a consolidation of several baking powder and chemical companies. The firm manufactures baking powder, gelatin desserts, and other products. It operates plants in Brooklyn, NY, Chicago, IL, and through subsidiaries, in Liverpool, England, and Cape Town, South Africa. A significant event was the acquisition of a majority of its preferred and common stocks by Standard Brands, Inc. in 1929. The company's capital structure includes 6% cumulative preferred stock ($10,000,000 authorized and outstanding) and common stock (800,000 shares authorized and outstanding, no par). Standard Brands Inc. owns over 99% of both preferred and common stock. Dividends on common stock were paid regularly, with varying percentages from 1899 to 1928, and then as cents per share on no par stock from 1928 to 1934. Subscription rights were offered in 1928 related to the segregation of E. W. Gillett Co., Ltd., and American Maise-Products Co. subsidiaries.",Royal Baking Powder Company,Royal Baking Powder Company,"Deutsche Royal Backpulver, Gesellschaft m.b.H., Berlin, Germany","Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.","In description: Company controls through 100% ownership, ....and Deutsche Royal Backpulver, Gesellschaft m. b. H., Berlin, Germany.",True,False,False,True,False,False,False,False
2533,13,5,76.1,375.171,530.95,389.571,"of Spearmint Doublemint Juicy Fruit and PX’a Owns factories in Chicago, DL; Frankfort, Germany London, Eng ; ",German,2533,WM. WRIGLEY JR. COMPANY,Wrigley A.G.,"Incorporated in Delaware, Oct. 18, 1927, as Wrigley Corp., and present title adopted Oct. 31, 1927. Originally incorporated in West Virginia, Nov. 11, 1910, as Wm. Wrigley Jr. Co. and a close corporation until Sept. 1919. Manufactures chewing gum under trade names of Spearmint, Doublemint, Juicy Fruit and P.K.'s. Owns factories in Chicago, Ill.; Frankfort, Germany; London, Eng.; Toronto, Canada and Sydney, Australia, with a combined daily capacity of 875,000 boxes or 7,500,000 packages. The German plant is operated by its subsidiary, Wrigley A.G. The company's charter also empowers it to hold stocks in other companies. In 1928, it acquired Listerated Gum Corp. It owns the Wrigley office building, which is free and clear of mortgage liens. The company has about 1,226 employees.",WM. WRIGLEY JR. COMPANY,Wm. Wrigley Jr. Company,Wrigley A.G.,,"In description: ""Owns factories in ... Franfurt, Germany..."" ""German plant is operated by subsidiary, Wrigley A. G.""",True,False,True,False,False,True,False,False
2581,31,6,228.7,637.925,295.3,645.534,Germany.................  ,German,2581,Otis Elevator Company,Otis Aufzugswerke G.m.b.H.,"Incorporated under New Jersey laws on November 28, 1898, as a consolidation of elevator manufacturers. In 1929, it merged with Graham & Norton Co., a manufacturer of elevator accessories. The company owns plants in Buffalo and Yonkers, N.Y.; Harrison, N.J.; and Quincy, Ill., and operates domestic offices in all principal U.S. cities. It also has agents in numerous foreign countries and U.S. possessions. The company and its subsidiaries manufacture passenger and freight elevators of all types, escalators, hoists, incline railways, spiral conveyors, and elevator accessories. They also manufacture steel castings for their own products and for other companies. As of December 31, 1933, the company, including its affiliated companies, had 10,649 employees.",Otis Elevator Company,Otis Elevator Company,Otis Aufzugswerke G.m.b.H.,Otis Aufzugswerke G.m.b.H.,"In section Subsidiaries and Affliated Companies: ""Otis Aufzugswerke G.m.b.H.... Germany"" Captial 3,951,266 Gold M. 100% owned",True,False,False,True,False,False,False,False
2648,84,3,71.3,481.389,532.4,493.789,"werksgeseUschaft Georg von Giesche’s Erben), a German corporation, all of the capital stock of the Giesche Co. (Giesehe ",German,2648,Silesian-American Corporation,Georg von Giesche's Heirs Mining Co. (Bergwerksgesellschaft Georg von Giesche's Erben),"Silesian-American Corporation was incorporated in Delaware on July 7, 1926, to acquire from Georg von Giesche's Heirs Mining Co. (Bergwerksgesellschaft Georg von Giesche's Erben), a German corporation, all of the capital stock of the Giesche Co. (Giesche Spolka Akcyjna), a Polish corporation, along with the German company's $6,000,000 sinking fund mortgage bonds. The Giesche concession properties include proved zinc ore reserves, concentrating, smelting, and refining plants for zinc, lead, and silver, rolling mills, factories, and approximately 1,400 workingmen's homes and 19,000 acres of land (10,000 acres forest). Silesian-Holding Co., incorporated under Delaware laws, owns the preferred and common shares of Silesian-American Corp. All stock of Silesian-Holding Co. is under a voting trust agreement, with the majority owned by Anaconda Copper Mining Co.",Silesian-American Corporation,Silesian-American Corporation,Georg von Giesche's Heirs Mining Co. (Bergwerksgesellschaft Georg von Giesche's Erben),Bergwerkgesellschaft Georg von Giesche's Erben,"incorporated in Delaware on July 7, 1926, to acquire from Georg von Giesche's Heirs Mining Co. (Bergwerksgesellschaft Georg von Giesche's Erben), a German corporation, all of the capital stock of the Giesche Co. (Giesche Spolka Akcyjna), a Polish corporation, along with the German company's $6,000,000 sinking fund mortgage bonds. ",True,False,False,True,False,False,False,False
2654,31,4,380.15,582.524,528.181,593.823,(German General Blectrlc Co.) and Als­,German,2654,General Electric Company,Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.),"General Electric Company's German subsidiary, Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.), along with Alsthom (French affiliation of General Electric), formed a new Spanish company called Gaertgen in 1931. Gaertgen, with an initial capital of 2,000,000 pesetas, was established to build a Spanish factory and cooperate in the electrification of Spanish railways. The German and French proportions in Gaertgen were 1 to 2 for imported foreign products. Allgemeine Elektricitaets-Gesellschaft previously controlled two small Spanish corporations (one a trade company and one an assembling plant) which formed the basis for the new Spanish corporation to overcome high duties. Additionally, in February 1930, General Electric Co. took participating debentures of Siemens & Halske, A. G., a German firm.",International General Electric Company,International General Electric Company Inc.,Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.),, It is mentioned: Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.),True,False,True,False,False,False,False,False
2654,31,12,379.9,629.863,528.631,638.871,Imported the German and French propor­,German,2654,General Electric Company,Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.),"General Electric Company's German subsidiary, Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.), along with Alsthom (French affiliation of General Electric), formed a new Spanish company called Gaertgen in 1931. Gaertgen, with an initial capital of 2,000,000 pesetas, was established to build a Spanish factory and cooperate in the electrification of Spanish railways. The German and French proportions in Gaertgen were 1 to 2 for imported foreign products. Allgemeine Elektricitaets-Gesellschaft previously controlled two small Spanish corporations (one a trade company and one an assembling plant) which formed the basis for the new Spanish corporation to overcome high duties. Additionally, in February 1930, General Electric Co. took participating debentures of Siemens & Halske, A. G., a German firm.",International General Electric Company,International General Electric Company Inc.,"Siemens & Halske, A.G.",,"""It was reported that General Electric Co. had taken the greater part of a $14,000,000 issue of participating debentures of Siemens & Halske, A.G., offered by Dillon Read & Co.""",False,True,False,False,False,False,False,False
2659,55,1,72.25,651.9,271.75,662.902,"Osram am.hH'Kw£mdb^w&i3iaft Berlin, Gennany ",Berlin,2659,GENERAL ELECTRIC X-RAY CORPORATION,"Allgemeine Elektrizitäts Gesellschaft, Berlin, Germany; Siemens & Halske Aktiengesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany","In 1932 International General Electric Co. acquired $10,000,000 par value of participating debentures of Siemens & Halske Aktiengesellschaft (Germany), out of a total of $14,000,000 par value sold in the United States. According to the company's annual report (1933) while these debentures give International General Electric Co. no vote in the affairs of Siemens and Halske A. G., it does give International General Electric a substantial participation in the profits, and the relations between the two companies are very cordial.","International General Electric Company, Inc.",International General Electric Company Inc.,"Allgemeine Elektricitäts Gesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany",,"Under section ""Affiliated Manufacturing Companies"": Allgemeine Elektricitäts Gesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany",False,False,False,False,True,True,False,False
2659,55,1,72.25,651.9,271.75,662.902,"Osram am.hH'Kw£mdb^w&i3iaft Berlin, Gennany ",Berlin,2659,GENERAL ELECTRIC X-RAY CORPORATION,"Allgemeine Elektrizitäts Gesellschaft, Berlin, Germany; Siemens & Halske Aktiengesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany","In 1932 International General Electric Co. acquired $10,000,000 par value of participating debentures of Siemens & Halske Aktiengesellschaft (Germany), out of a total of $14,000,000 par value sold in the United States. According to the company's annual report (1933) while these debentures give International General Electric Co. no vote in the affairs of Siemens and Halske A. G., it does give International General Electric a substantial participation in the profits, and the relations between the two companies are very cordial.","International General Electric Company, Inc.",International General Electric Company Inc.,"Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany",,"Under section ""Affiliated Manufacturing Companies"": Allgemeine Elektricitäts Gesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany",False,False,False,False,True,True,False,False
